iter	Passed	Remaining
0	12	12883
1	25	12589
2	37	12589
3	50	12582
4	62	12531
5	75	12455
6	87	12471
7	100	12466
8	112	12397
9	124	12342
10	138	12409
11	150	12411
12	163	12432
13	176	12414
14	188	12401
15	201	12411
16	214	12415
17	227	12438
18	240	12410
19	253	12416
20	265	12387
21	278	12392
22	290	12345
23	303	12327
24	315	12304
25	328	12295
26	340	12263
27	353	12254
28	365	12235
29	378	12226
30	390	12203
31	403	12194
32	415	12182
33	428	12164
34	440	12141
35	453	12130
36	465	12117
37	477	12100
38	490	12079
39	502	12066
40	515	12054
41	527	12038
42	539	12017
43	552	12006
44	565	11991
45	576	11964
46	588	11937
47	600	11912
48	612	11884
49	624	11862
50	637	11854
51	649	11843
52	661	11826
53	674	11809
54	686	11799
55	699	11790
56	711	11773
57	723	11755
58	736	11746
59	749	11736
60	761	11719
61	773	11700
62	786	11690
63	798	11680
64	811	11668
65	823	11649
66	835	11634
67	847	11614
68	852	11509
69	861	11439
70	873	11425
71	885	11413
72	897	11395
73	909	11378
74	912	11258
75	924	11241
76	936	11226
77	948	11210
78	960	11192
79	971	11177
80	983	11162
81	995	11147
82	1007	11131
83	1019	11116
84	1031	11100
85	1042	11083
86	1054	11069
87	1066	11053
88	1078	11039
89	1090	11023
90	1102	11008
91	1113	10992
92	1125	10977
93	1137	10961
94	1149	10947
95	1161	10936
96	1173	10923
97	1185	10909
98	1197	10895
99	1209	10881
100	1220	10867
101	1232	10853
102	1244	10839
103	1256	10824
104	1268	10810
105	1279	10795
106	1291	10781
107	1303	10767
108	1315	10753
109	1327	10740
110	1331	10664
111	1343	10651
112	1355	10637
113	1367	10624
114	1378	10611
115	1390	10599
116	1402	10585
117	1414	10572
118	1426	10559
119	1438	10546
120	1450	10533
121	1461	10520
122	1473	10507
123	1485	10493
124	1497	10480
125	1509	10468
126	1520	10455
127	1532	10443
128	1544	10429
129	1556	10417
130	1568	10404
131	1580	10391
132	1592	10377
133	1603	10364
134	1615	10352
135	1627	10339
136	1639	10326
137	1651	10313
138	1663	10301
139	1674	10289
140	1686	10276
141	1698	10263
142	1710	10251
143	1722	10238
144	1734	10227
145	1746	10214
146	1758	10201
147	1769	10189
148	1775	10139
149	1787	10126
150	1798	10114
151	1810	10102
152	1822	10089
153	1834	10078
154	1846	10065
155	1858	10053
156	1870	10041
157	1882	10029
158	1893	10017
159	1906	10011
160	1920	10008
161	1933	10000
162	1945	9990
163	1958	9981
164	1970	9972
165	1983	9963
166	1995	9953
167	2008	9944
168	2020	9935
169	2033	9926
